Region_Geografica,Acceso_Servicios_Financieros,Tiempo_Pago_Horas,Uso_Tecnologia_Movil,Ingresos_Mensuales,Preferencia_Pago,Tenencia_Telefono_Celular,Edad,Nivel_Educativo,Frecuencia_Transacciones,Costo_Transporte_Pago,Numero_Cuentas_Bancarias,Satisfaccion_Servicios_Financieros,Sucursales_10KM
Comuna 13,Sin Acceso,2.02,Alto,609693,Digital,No,31,Secundaria,22,5441.99,3,Neutral,0
Comuna 8,Cuenta Bancaria,3.19,Bajo,1582296,Digital,No,69,Secundaria,6,9465.0,2,Muy Insatisfecho,0
Comuna 13,Billetera Movil,6.29,Alto,2833566,Digital,No,64,Primaria,40,9470.67,0,Muy Insatisfecho,3
Comuna 5,Billetera Movil,1.41,Bajo,2975503,Presencial,Sí,30,Universitario,9,9904.94,2,Insatisfecho,0
Comuna 13,Sin Acceso,6.47,Bajo,720701,Presencial,Sí,53,Técnico,47,15712.8,0,Muy Satisfecho,0
Zona Rural,Cuenta Bancaria,3.32,Medio,1483864,Presencial,No,20,Primaria,20,14691.64,2,Insatisfecho,0
Zona Rural,Sin Acceso,4.82,Alto,957500,Presencial,Sí,57,Primaria,11,5338.95,1,Muy Satisfecho,2
Comuna 8,Sin Acceso,0.61,Alto,711422,Digital,Sí,38,Técnico,8,14961.39,0,Muy Insatisfecho,2
Comuna 5,Cuenta Bancaria,5.26,Bajo,725587,Presencial,No,50,Universitario,38,7666.22,3,Insatisfecho,1
Comuna 10,Billetera Movil,6.28,Medio,857176,Digital,No,54,Primaria,19,17386.91,0,Insatisfecho,2
Comuna 10,Cuenta Bancaria,6.99,Alto,710354,Presencial,No,41,Primaria,41,17498.45,2,Muy Insatisfecho,2
Zona Rural,Sin Acceso,6.97,Bajo,1503916,Presencial,Sí,43,Universitario,10,7826.46,1,Muy Satisfecho,1
Comuna 13,Cuenta Bancaria,5.99,Bajo,1088068,Presencial,No,58,Primaria,7,10399.34,3,Satisfecho,1
Comuna 13,Cuenta Bancaria,2.07,Alto,1339149,Presencial,Sí,62,Universitario,39,5393.08,2,Insatisfecho,0
Comuna 5,Sin Acceso,5.61,Bajo,2538223,Presencial,No,24,Primaria,2,15087.72,0,Neutral,0
Comuna 10,Billetera Movil,6.45,Medio,2912930,Presencial,Sí,27,Secundaria,34,6362.97,0,Muy Satisfecho,0
Comuna 10,Billetera Movil,1.2,Bajo,623102,Digital,No,68,Secundaria,47,10759.16,1,Insatisfecho,1
Zona Rural,Sin Acceso,3.17,Medio,1359084,Presencial,Sí,21,Primaria,45,13868.66,2,Satisfecho,2
Comuna 13,Cuenta Bancaria,4.07,Alto,2423137,Presencial,Sí,64,Universitario,18,17409.82,1,Insatisfecho,0
Comuna 5,Billetera Movil,3.81,Bajo,1346149,Presencial,Sí,33,Secundaria,50,13191.99,1,Muy Insatisfecho,1
Comuna 5,Cuenta Bancaria,3.4,Bajo,979602,Digital,Sí,60,Primaria,3,10571.78,1,Satisfecho,3
Comuna 13,Billetera Movil,1.25,Medio,1684720,Digital,Sí,34,Secundaria,2,18607.92,2,Muy Satisfecho,1
Zona Rural,Sin Acceso,6.77,Bajo,2499201,Digital,No,29,Universitario,28,17509.59,0,Muy Satisfecho,0
Comuna 10,Billetera Movil,6.89,Alto,2207342,Digital,No,67,Primaria,12,10193.94,1,Neutral,2
Comuna 8,Sin Acceso,7.97,Alto,897826,Digital,Sí,34,Universitario,49,16311.51,3,Insatisfecho,0
Comuna 5,Billetera Movil,1.94,Medio,2873852,Digital,Sí,54,Técnico,30,13445.54,0,Muy Insatisfecho,1
Comuna 13,Billetera Movil,7.47,Medio,2844741,Digital,Sí,67,Técnico,46,13397.72,2,Satisfecho,0
Comuna 5,Cuenta Bancaria,2.57,Medio,2622886,Presencial,Sí,65,Primaria,6,8466.11,3,Satisfecho,0
Comuna 5,Cuenta Bancaria,3.72,Medio,2942671,Presencial,No,34,Primaria,14,16880.61,3,Insatisfecho,1
Comuna 5,Billetera Movil,1.41,Alto,2968733,Presencial,No,56,Técnico,39,13821.84,1,Satisfecho,0
Comuna 13,Billetera Movil,1.22,Alto,645688,Digital,Sí,24,Secundaria,21,9637.06,3,Insatisfecho,3
Comuna 5,Sin Acceso,4.39,Alto,2591959,Presencial,No,66,Técnico,20,18301.04,1,Muy Insatisfecho,0
Zona Rural,Cuenta Bancaria,6.81,Bajo,1384028,Digital,No,29,Secundaria,6,5611.66,0,Insatisfecho,1
Comuna 5,Sin Acceso,0.67,Alto,2928841,Digital,Sí,63,Primaria,25,17390.85,3,Muy Insatisfecho,0
Comuna 10,Cuenta Bancaria,2.0,Medio,1365502,Presencial,No,59,Secundaria,21,12817.09,2,Satisfecho,0
Comuna 13,Cuenta Bancaria,5.0,Alto,1366406,Presencial,Sí,40,Primaria,23,1395.4,0,Muy Satisfecho,1
Comuna 8,Sin Acceso,7.85,Medio,757765,Presencial,Sí,67,Secundaria,27,4700.59,3,Muy Insatisfecho,0
Comuna 13,Billetera Movil,3.27,Bajo,1757030,Presencial,No,28,Secundaria,24,18050.12,1,Muy Satisfecho,1
Comuna 5,Sin Acceso,4.52,Medio,2498578,Digital,Sí,44,Universitario,36,4550.28,1,Satisfecho,0
Comuna 13,Sin Acceso,5.05,Alto,1914197,Digital,Sí,57,Secundaria,8,6736.37,1,Muy Satisfecho,0
Comuna 10,Sin Acceso,2.75,Alto,1173861,Digital,Sí,47,Primaria,38,9563.27,1,Satisfecho,0
Zona Rural,Sin Acceso,3.64,Medio,1265532,Presencial,No,69,Universitario,44,9091.58,2,Muy Insatisfecho,0
Zona Rural,Billetera Movil,2.37,Alto,2169835,Digital,Sí,56,Técnico,1,11078.09,3,Satisfecho,0
Comuna 10,Cuenta Bancaria,5.61,Bajo,2406107,Presencial,Sí,67,Secundaria,38,10762.23,1,Neutral,1
Comuna 13,Sin Acceso,7.07,Medio,2411477,Presencial,Sí,55,Técnico,30,16010.77,0,Insatisfecho,1
Comuna 5,Cuenta Bancaria,1.02,Bajo,1220913,Presencial,No,64,Secundaria,25,18173.73,2,Insatisfecho,0
Comuna 13,Sin Acceso,4.72,Alto,2822274,Digital,Sí,58,Universitario,2,14038.86,2,Insatisfecho,1
Comuna 5,Sin Acceso,3.01,Bajo,2315783,Digital,No,53,Primaria,40,8624.9,3,Muy Insatisfecho,0
Comuna 13,Sin Acceso,1.8,Medio,512122,Presencial,Sí,31,Universitario,45,1754.39,3,Muy Satisfecho,0
Zona Rural,Billetera Movil,0.85,Medio,698996,Presencial,Sí,67,Primaria,24,8539.67,1,Insatisfecho,1
Comuna 13,Billetera Movil,6.27,Medio,1077499,Digital,Sí,18,Técnico,47,8548.04,1,Satisfecho,2
Comuna 10,Billetera Movil,6.88,Bajo,2820778,Presencial,Sí,25,Técnico,42,10718.46,0,Insatisfecho,2
Comuna 8,Sin Acceso,2.35,Bajo,1464387,Digital,Sí,53,Universitario,15,10393.18,3,Insatisfecho,0
Comuna 8,Sin Acceso,4.52,Bajo,1337705,Digital,Sí,68,Secundaria,21,5350.1,1,Muy Insatisfecho,0
Comuna 10,Sin Acceso,2.65,Medio,2373774,Digital,No,35,Secundaria,14,18093.25,3,Muy Satisfecho,2
Comuna 13,Cuenta Bancaria,4.33,Bajo,2244862,Presencial,Sí,20,Universitario,42,1424.79,3,Muy Insatisfecho,0
Zona Rural,Cuenta Bancaria,7.88,Medio,2937006,Digital,Sí,55,Primaria,41,16191.8,3,Muy Insatisfecho,0
Comuna 5,Billetera Movil,5.57,Medio,2311771,Presencial,No,34,Secundaria,28,9387.42,2,Satisfecho,3
Zona Rural,Billetera Movil,6.13,Alto,1138196,Digital,Sí,41,Universitario,46,4577.53,1,Muy Satisfecho,3
Comuna 13,Sin Acceso,1.76,Alto,1460741,Digital,Sí,45,Secundaria,41,3645.5,1,Neutral,0
Comuna 5,Sin Acceso,1.46,Bajo,2425233,Presencial,No,56,Técnico,46,14515.53,0,Satisfecho,1
Comuna 8,Cuenta Bancaria,3.96,Medio,2225027,Digital,No,42,Técnico,23,2851.39,2,Muy Satisfecho,1
Comuna 13,Cuenta Bancaria,6.59,Bajo,2532252,Digital,No,66,Primaria,32,16104.74,3,Satisfecho,2
Zona Rural,Sin Acceso,7.49,Bajo,1441609,Digital,No,28,Universitario,15,4100.99,0,Neutral,1
Zona Rural,Cuenta Bancaria,3.89,Medio,2901249,Digital,Sí,42,Primaria,5,1604.11,3,Satisfecho,0
Comuna 5,Sin Acceso,2.74,Alto,632532,Presencial,Sí,61,Universitario,26,14778.29,1,Satisfecho,0
Comuna 5,Billetera Movil,5.51,Bajo,2707729,Digital,Sí,28,Universitario,2,11945.76,3,Insatisfecho,3
Comuna 10,Sin Acceso,3.63,Alto,2370400,Presencial,No,70,Técnico,10,8651.1,3,Satisfecho,2
Comuna 13,Sin Acceso,0.62,Alto,1709117,Presencial,Sí,23,Primaria,13,17086.23,2,Muy Insatisfecho,1
Comuna 10,Cuenta Bancaria,2.37,Medio,555165,Digital,No,52,Universitario,3,12446.45,1,Satisfecho,1
Comuna 10,Billetera Movil,5.87,Bajo,1683712,Digital,No,56,Técnico,25,19146.48,3,Neutral,0
Comuna 10,Billetera Movil,3.48,Alto,1432247,Digital,No,28,Técnico,15,8787.47,1,Insatisfecho,2
Comuna 5,Cuenta Bancaria,5.88,Bajo,1528744,Digital,No,30,Universitario,13,3591.8,0,Muy Satisfecho,0
Comuna 13,Cuenta Bancaria,6.63,Medio,1593693,Digital,Sí,24,Universitario,29,4031.47,3,Satisfecho,1
Comuna 8,Cuenta Bancaria,6.56,Medio,2808880,Presencial,Sí,45,Técnico,20,8877.14,2,Satisfecho,1
Zona Rural,Cuenta Bancaria,6.02,Alto,2962668,Presencial,Sí,69,Secundaria,34,8513.62,1,Neutral,0
Comuna 13,Sin Acceso,2.66,Alto,545883,Presencial,No,35,Secundaria,22,7264.33,2,Insatisfecho,2
Comuna 5,Cuenta Bancaria,3.35,Alto,1969665,Presencial,Sí,30,Secundaria,36,9602.14,0,Muy Insatisfecho,0
Comuna 10,Sin Acceso,7.24,Medio,2934672,Digital,No,22,Universitario,7,7026.71,1,Insatisfecho,3
Comuna 13,Billetera Movil,6.77,Alto,1114049,Presencial,Sí,23,Secundaria,1,19693.97,2,Muy Satisfecho,2
Comuna 8,Sin Acceso,3.17,Medio,2348015,Digital,No,48,Primaria,40,17196.51,3,Satisfecho,2
Comuna 5,Cuenta Bancaria,4.49,Medio,2494481,Presencial,No,67,Universitario,25,7575.34,0,Neutral,0
Comuna 8,Billetera Movil,4.96,Medio,1507217,Presencial,No,41,Técnico,43,6097.25,1,Insatisfecho,1
Comuna 10,Cuenta Bancaria,6.19,Bajo,2204539,Presencial,No,44,Primaria,27,17886.37,0,Insatisfecho,1
Comuna 10,Sin Acceso,3.02,Medio,929527,Digital,Sí,39,Técnico,10,4937.13,0,Insatisfecho,2
Comuna 10,Sin Acceso,7.64,Bajo,2754507,Presencial,No,48,Técnico,5,6497.57,3,Insatisfecho,3
Zona Rural,Sin Acceso,3.51,Alto,1041420,Presencial,No,23,Primaria,13,13188.76,2,Muy Satisfecho,3
Zona Rural,Cuenta Bancaria,4.62,Bajo,1892078,Digital,No,27,Universitario,33,10739.72,1,Muy Insatisfecho,2
Comuna 8,Sin Acceso,7.23,Alto,1005050,Digital,Sí,69,Secundaria,8,17457.21,2,Neutral,2
Comuna 5,Cuenta Bancaria,5.22,Bajo,932566,Digital,Sí,67,Secundaria,7,18231.54,0,Satisfecho,0
Comuna 5,Billetera Movil,3.47,Medio,1006219,Presencial,No,64,Secundaria,4,3988.99,0,Satisfecho,0
Comuna 10,Sin Acceso,7.76,Alto,2680490,Digital,Sí,60,Técnico,29,16024.12,0,Neutral,2
Comuna 5,Sin Acceso,4.55,Medio,556600,Digital,Sí,38,Primaria,45,6089.94,2,Satisfecho,2
Comuna 10,Billetera Movil,5.44,Alto,2690922,Digital,No,33,Secundaria,20,15276.47,3,Muy Satisfecho,0
Comuna 10,Sin Acceso,7.64,Bajo,2172752,Digital,Sí,39,Primaria,14,11212.88,3,Muy Satisfecho,0
Zona Rural,Billetera Movil,7.41,Bajo,2591050,Presencial,Sí,57,Técnico,8,14198.67,2,Muy Satisfecho,0
Comuna 10,Billetera Movil,5.81,Bajo,1421748,Digital,Sí,23,Primaria,18,4906.4,1,Satisfecho,1
Comuna 5,Cuenta Bancaria,6.09,Alto,1874271,Presencial,No,26,Técnico,41,8304.71,0,Muy Satisfecho,1
Comuna 10,Billetera Movil,3.82,Bajo,1176734,Presencial,No,32,Secundaria,20,7656.14,3,Muy Satisfecho,0
Comuna 8,Cuenta Bancaria,3.49,Medio,503501,Digital,No,48,Primaria,11,18207.2,2,Neutral,1
Comuna 5,Cuenta Bancaria,1.48,Medio,2100268,Presencial,No,27,Secundaria,25,7027.79,2,Muy Insatisfecho,1
Comuna 13,Sin Acceso,7.81,Medio,772876,Presencial,Sí,69,Universitario,18,1094.66,3,Insatisfecho,3
Comuna 5,Sin Acceso,3.0,Medio,1005991,Presencial,No,47,Técnico,34,11498.07,0,Insatisfecho,3
Comuna 5,Billetera Movil,6.69,Medio,2083443,Presencial,Sí,56,Técnico,34,6108.75,0,Satisfecho,1
Comuna 13,Cuenta Bancaria,4.06,Medio,969613,Presencial,No,20,Técnico,38,12996.93,1,Insatisfecho,0
Comuna 5,Cuenta Bancaria,5.42,Medio,1491188,Presencial,Sí,26,Universitario,41,11114.59,0,Satisfecho,0
Zona Rural,Cuenta Bancaria,0.56,Alto,1141564,Digital,No,52,Secundaria,21,11925.85,1,Muy Insatisfecho,2
Comuna 8,Cuenta Bancaria,6.89,Bajo,872738,Presencial,No,31,Secundaria,18,13408.54,2,Insatisfecho,1
Comuna 10,Billetera Movil,1.3,Alto,785976,Digital,Sí,46,Primaria,26,10795.08,2,Satisfecho,0
Comuna 13,Cuenta Bancaria,1.13,Alto,978929,Presencial,No,42,Técnico,32,5228.57,1,Insatisfecho,0
Zona Rural,Cuenta Bancaria,5.81,Medio,2154911,Presencial,No,51,Primaria,3,15181.37,0,Neutral,0
Zona Rural,Billetera Movil,7.0,Alto,2571080,Digital,Sí,40,Primaria,15,15324.63,3,Satisfecho,2
Comuna 5,Cuenta Bancaria,7.87,Medio,1465508,Presencial,No,21,Universitario,19,19803.36,3,Satisfecho,0
Comuna 13,Billetera Movil,7.07,Alto,666376,Digital,No,51,Secundaria,32,10487.95,0,Insatisfecho,0
Comuna 10,Billetera Movil,5.26,Bajo,1165807,Digital,Sí,27,Universitario,45,16432.37,0,Neutral,3
Zona Rural,Sin Acceso,6.41,Alto,1099317,Presencial,No,69,Primaria,45,3608.52,1,Muy Satisfecho,0
Comuna 8,Billetera Movil,2.72,Alto,873547,Digital,Sí,20,Universitario,37,16531.5,3,Muy Satisfecho,1
Zona Rural,Billetera Movil,0.89,Medio,1878393,Digital,Sí,32,Técnico,1,17584.65,1,Satisfecho,0
Comuna 13,Billetera Movil,6.68,Alto,1685935,Digital,No,43,Primaria,14,8773.55,0,Insatisfecho,1
Comuna 10,Billetera Movil,7.94,Bajo,625051,Presencial,No,43,Secundaria,4,9703.03,0,Muy Insatisfecho,0
Comuna 5,Billetera Movil,5.62,Alto,1444953,Presencial,No,32,Técnico,47,4368.01,0,Muy Satisfecho,1
Zona Rural,Sin Acceso,1.77,Bajo,2894968,Presencial,Sí,63,Universitario,47,9370.38,3,Muy Satisfecho,3
Comuna 8,Billetera Movil,6.13,Medio,1878314,Presencial,No,51,Técnico,37,6772.77,3,Muy Insatisfecho,2
Comuna 8,Sin Acceso,5.64,Bajo,1449993,Presencial,No,46,Universitario,31,4091.6,2,Insatisfecho,0
Comuna 8,Billetera Movil,5.77,Alto,1568757,Digital,No,32,Secundaria,18,17963.7,1,Muy Insatisfecho,0
Zona Rural,Cuenta Bancaria,6.39,Bajo,2298581,Presencial,Sí,20,Universitario,18,19007.25,1,Neutral,0
Comuna 10,Sin Acceso,3.29,Medio,1033088,Presencial,Sí,58,Secundaria,28,17037.66,1,Muy Insatisfecho,0
Comuna 8,Cuenta Bancaria,6.65,Medio,1088464,Presencial,No,23,Técnico,24,11810.74,2,Satisfecho,1
Comuna 5,Billetera Movil,4.89,Medio,1169226,Digital,No,37,Universitario,32,10521.54,2,Muy Satisfecho,0
Comuna 5,Billetera Movil,3.91,Bajo,1314953,Presencial,No,67,Primaria,7,12849.38,3,Muy Insatisfecho,0
Comuna 5,Billetera Movil,0.85,Alto,554134,Presencial,Sí,51,Secundaria,19,4745.43,1,Satisfecho,0
Comuna 13,Billetera Movil,3.33,Alto,2097324,Presencial,No,55,Secundaria,29,5762.39,3,Muy Satisfecho,0
Comuna 8,Cuenta Bancaria,3.09,Medio,1650282,Presencial,No,22,Técnico,37,2989.81,1,Muy Insatisfecho,1
Zona Rural,Sin Acceso,5.96,Alto,1442876,Presencial,No,20,Universitario,15,15193.99,2,Satisfecho,2
Comuna 8,Sin Acceso,4.51,Medio,2889813,Presencial,No,18,Secundaria,49,6923.17,3,Satisfecho,2
Comuna 10,Billetera Movil,3.96,Alto,992235,Digital,Sí,20,Universitario,1,7358.57,1,Muy Satisfecho,0
Zona Rural,Billetera Movil,6.02,Bajo,2992479,Presencial,Sí,32,Técnico,49,1156.28,0,Insatisfecho,0
Comuna 10,Cuenta Bancaria,7.06,Alto,2675766,Digital,No,40,Secundaria,4,8976.09,3,Muy Satisfecho,0
Comuna 13,Cuenta Bancaria,1.79,Medio,663493,Digital,No,26,Primaria,39,10195.78,0,Muy Satisfecho,0
Zona Rural,Cuenta Bancaria,4.2,Alto,2220518,Presencial,No,46,Secundaria,29,7007.18,1,Neutral,2
Comuna 8,Sin Acceso,3.71,Medio,2780474,Presencial,No,54,Primaria,34,5248.24,3,Neutral,0
Comuna 5,Billetera Movil,5.01,Alto,2386805,Digital,Sí,54,Técnico,19,6325.82,0,Muy Satisfecho,0
Comuna 10,Billetera Movil,3.89,Bajo,1438653,Digital,Sí,34,Técnico,26,15685.55,1,Muy Insatisfecho,2
Comuna 8,Cuenta Bancaria,6.72,Alto,1193087,Digital,No,34,Primaria,14,17358.79,0,Satisfecho,0
Comuna 5,Billetera Movil,5.89,Bajo,2994337,Digital,No,48,Primaria,23,6726.71,0,Muy Satisfecho,0
Comuna 8,Cuenta Bancaria,6.06,Medio,2061262,Digital,No,69,Universitario,48,1862.21,1,Muy Satisfecho,0
Zona Rural,Sin Acceso,4.03,Bajo,853657,Presencial,No,68,Secundaria,32,15958.78,2,Satisfecho,1
Comuna 8,Billetera Movil,3.99,Bajo,2081154,Presencial,Sí,31,Secundaria,20,13817.0,0,Neutral,1
Zona Rural,Billetera Movil,3.24,Bajo,2866356,Digital,No,22,Universitario,12,4341.57,3,Muy Insatisfecho,0
